sender,value
0x91212de083d29342F670FB69Ffa68176369e3B20,500000000000000000
0x2FCF6bBD6F9e111fDb3A72F384BC856a65927775,115000000000000000
0x6cFd3272cF940eb94E83A654deAe124Dfc65f681,20000000000000000
0x772Ac62B430365403f456bD721F98B7c11ce208F,5000000000000000000
0x1283A94c464e1C97575f43899DA86d963Eaa3051,600000000000000000
0x3373D28b8eA8c50fDbeBa7c0726D0DA23A4030f6,55287472743275938
0xd5B708bD4e8ac74AA4DC6B7E268810C0410dC3cC,40000000000000000
0xCa9ba74eE20917211ef646AC51ACcc287F27538b,100000000000000000
0xb3e9c2B96B2cC9dEfA63634dd748F45523205250,509848862452548050
0xC63b0D887ed0335699354dB687C5fa0b37cb0D96,2000000000000000000
0x3839AcF1ee7699D1F46b1BE840D8aD8317FDf757,250000000000000000
0xdC7C7F0bEA8444c12ec98Ec626ff071c6fA27a19,100000000000000000
0x4Cc0f1DbaAF5091c12d5706948670A91eE7a3497,2000000000000000000
0xf6Bc89cc57e33c4e8053C4d8e63b70bf8C47e1A1,5000000000000000000
0xcaD9A9ad59A666eaE88e14f9faea0A5D2D2a01F4,900000000000000000
0x599Af7f3Eb2Af4f39A8174f1fab2cca09ff11a5d,130000000000000000
0x8871EC2dE5973f75AfC8b754A834a0F931f54279,8515214258147122
0xdb75AE62eEC74E21d193aD27713C703a9BC84eAd,500000000000000000
0x4f89C1d982916214E66274dDC6AA4886c72c3Ed4,670000000000000000
0x7f09599e499396684cB1a833FB7E0481d9b6fE1B,1000000000000000000
0x94D1204641e5Ab135D0785C17dEDec1f121706bf,69000000000000000
0x085F6a7B87FBe66Ca68921aD82Ad2f33b686155A,20000000000000000
0x167539702B5501aADd9B0B85E53532Fd57cC71a9,1000000000000000000
0x851EeE2ADF3b40c15B100DEdBaDE93DBEbE84219,500000000000000000
0x01f21A9a907b17883F12800Ead158091902994Ed,30000000000000000
0x4064023610A479F9A0415eE98f87895A0e2e0884,1000000000000000000
0x08A39aE0b0dA06fE824a65fA0A73C3126A82A0bA,500000000000000000
0xdc01a31e5f905fbFF7d071AFe198CED00B2674AE,23000000000000000
0xeAd28e25ad83eE78F12E4188Ae7F8743Aa761f7C,220000000000000000
0x7E95C78f423D3eF01C9414997d8471e04222a88E,250000000000000000
0x0aAeF7BbC21c627f14caD904E283e199cA2b72cC,50000000000000000000
0xE2f234fDC9FFdD184bFA67d62255A00Ba3217267,44150962427912849
0x3f4DB615Bd9042A21e64E5FF37591d3f44CB351A,30000000000000000
0x2fF492e8c01cFa1310cc7a31330cde753806A9Fb,500000000000000000
0x7c99670ECc3A57Cd1A8D1Bdfc8e2Ff5b4527b382,200000000000000000
0x67887c521Ba95443d653CD72Da91D67e64810E70,20000000000000000
0x478C24966B80A46b7cE30abE8Ddc2461E495B710,333000000000000000
0x52d046dF47531d0b32B979aDE7a9da6E992a9aBB,125000000000000000
0x44aD7128ff5bEe58eC58A386Cad2e3405252645b,300000000000000000
0x18A58BaebA1048b6Dd11989674E4f7E77E6913Eb,500000000000000000
0xC33eE998390c49d0138D4cA7E58c7bB68AE33e1E,900000000000000000
0xC0FFEE22F360792a89dB39f159F103dAAFe9C57D,1000000000000000000
0xF33e6b56c82a0d50f67dA79E5d36935076449b73,40000000000000000
0x1399a4E68D94918025096FCAFa1e36059FB10F1e,100000000000000000
0x09b3Ed5392Df96C5691a5c3e793acb4dc47d089E,1000000000000000000
0xfB843f8c4992EfDb6b42349C35f025ca55742D33,1000000000000000000
0xf75356677b3a84398CC4B24B7fDEdab61BAE7D40,1000000000000000000
0xA8872C29Fcc8B2fffa610f0717F98C8bB6e119fF,1000000000000000000
0x1Ba2A537A771AA4EaC2f18427716557e4E744864,112000000000000000
0xf2FeA8d8b0495F4E73Bc0d9246e7E6D2ff7561a3,1000000000000000000
0x5a589B3b9ff6482C442d198c6bCAa40a4F90fA10,500000000000000000
0x44B76fD4EeF6Ff8327c3CD7359E2177de463e36E,200000000000000000
0x0682EBeC1F898110D1E5741e2c7DAFFfB6a47870,100000000000000000
0xd0524CF5349F3582CB982E90ba2C7dc80CBbb2ea,100000000000000000
0x490F5F3905b65Fc725C9454094deeED477d145a3,50000000000000000
0x5F13abD64833173f42c3Dc22DBE568476E9d819A,500000000000000000
0x03c813E6E4622361054dB05c6d1dC19A9BFBad40,1000000000000000000
0xac3965b133bF4dEa4376783868422d7cd6030C89,100000000000000000
0x49e81859613153edA09C1068050A0e45BE0Fb69d,110537544076845700
0xd0D289dAe2BD66DdC6dbD32F1537426BF71141A0,150000000000000000
0x805Ba02F89C4C9ce6701eb502ebBBe19941e306F,100000000000000000
0xb0Dc0c7a91C34Ac1698f9E7EC03104bdB3b42De3,1000000000000000000
0xFf5dCd67b90b51eDDb8B2Cb4Fc7689e48Ac903A2,444000000000000000
0xc1eb2475D7f757f4349feeAC6e2B16D195Fc0095,3000000000000000000
0x2aC2b3C5588e98B5da17213d8C341219ffcE9AFD,1000000000000000000
0xb28e6c7c68c10e626A6c2772e23e836eE15884fd,100000000000000000
0x8b05a409bc8fD37470392637DEA7e878ABd46865,100000000000000000
0xBb54be8bC5213bB5b1651EB175BE839CDc72F5Fe,5000000000000000000
0x7F2466ae8bADee7Dc0109Edd0b6Dde08C432236c,44249179709543530
0x928bd592eaF16ac2Eadeb9971F8B1a68b40C9Ed8,230000000000000000
0x8750B871Eb0dc258d6A0BE6823273192827e34ac,2000000000000000000
0x9daAaD3989D9D3149a8620a8Ef8Ca5db2CddFC38,500000000000000000
0x3e4ba85c5c980Fd3Dc119eA7796fE461488DD2F4,100000000000000000
0x55956aAAd86B318992e7f6dbd8E41923f6829606,188800000000000000
0x4f1c70FCCAB3773d0cccBA5a3DB00E36C98f1AB7,1200000000000000000
0xd15F6a720E0526fC1d7167E6D252024E8E78701F,5000000000000000
0x0689587841a298677d80971aE2Dd9e9bbfD333F7,500000000000000000
0x28395ad01cA521Ec9f51b3a493b94E5104A276ea,240000000000000000
0xeE620a0991D57f464aaD452789a4564Ba51245E8,100000000000000000
0x4CddfF23d036E15fe786508FfA39B27F73b4A01a,888800000000000000
0x534022Cba6d47F124cDFBf8D3965A81E92b64E79,50000000000000000
0x82DCfF3c5F3CD89eEe6887cA817A92289A73B7B8,5000000000000000000
0x6538414F19076B4a7D729dfC727A39e4Ba6Db3A9,150000000000000000
0x865CAe5089cA4276A4C00d45bEB53A1719314e63,24000000000000000
0xb718727E7C8A4646D41d8b0BE5e8e2c028B9EFAA,1000000000000000000
0xAE46463b9aD5AD0AF8c371f63e12D3A6307Bb296,20000000000000000
0xd24400ae8BfEBb18cA49Be86258a3C749cf46853,100000000000000000
0x321B017092eFAfCa4B0df1Ed6014Efc4b5C61814,1000000000000000000
0x47Ba9F86c3FA6e6741BB7C25E88F123644Fb75cD,2000000000000000000
0x6fE4aceD57AE0b50D14229F3d40617C8b7d2F2E1,500000000000000000
0x283D37E46f7817610fA03fE8ecE875a2897A8df9,100000000000000000
0x42c029e3536A8b83b0a5C1b3c2d611e1C03320Cc,50000000000000000000
0x5e55fEdF338deeeFA37Ae1222cb34bB5db2250eB,10000000000000000
0xeaB77D0A1C8c997C64f9AC05D4FCD852275c8F3e,50000000000000000
0xF5b1CE61ac45e5BfeE6a35de8881d3a7EBd45653,41800000000000000
0xDA7c484bcD2777bB93b0978905e3d89d6B2D5225,1000000000000000000
0x6F0735BF1e6C69030d6990Cdd580345b370Eb50A,1150000000000000000
0x50446040071cb4d243B1b800cC99a07D73E5637f,10000000000000000000
0x2847aCCeFe50d0C25eF594763070A94C42Ec097C,30000000000000000
0x824BBbac4dBB2660c4896eDCa4419B1490546861,50000000000000000
0x7D781255395b72ABEA5016404D2B428ECB8cA338,20000000000000000
0x471A693EDC49279f458869d1b8F918CF04Bc24Ae,700000000000000000
0x542406aA03f3f430ea05D666e03AD5a8fa3535e3,2010000000000000000
0x87E386cEdb82CF8F080b3505ADaE1eF699e65057,100000000000000000
0x6c068FC28043599Be8C0bA23b29Bd39de080f857,2170000000000000000
0x10187dB07f646053c53eC6358B4a2498CB14739f,6000000000000000000
0x6dEa5dCFa64DC0bb4E5AC53A375A4377CF4eD0Ee,20000000000000000
